department,position,scale_point,annual_rat(€)
ADIMINISTRATIVE,ENIOR_ADMINISTRATIVE_OFFICER_I,9,"95004"
ADIMINISTRATIVE,ENIOR_ADMINISTRATIVE_OFFICER_I,10,"99296"
ADIMINISTRATIVE,ENIOR_ADMINISTRATIVE_OFFICER_I,11,"103583"
ADIMINISTRATIVE,ENIOR_ADMINISTRATIVE_OFFICER_I,12,"107875"

ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,1,"58657"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,2,"60174"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,3,"61704"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,4,"63240"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,5,"64776"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,6,"66317"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,7,"68510"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,8,"72779"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,9,"77291"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,10,"79691"
ADIMINISTRATIVE,SENIOR_EXECUTIVE_ADMINISTRATOR,11,"83397"

ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,1,"44752"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,2,"47050"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,3,"49360"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,4,"51268"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,5,"53218"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,6,"55306"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,7,"57462"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,8,"59557"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,9,"61263"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,10,"62840"
ADIMINISTRATIVE,EXECUTIVE_ADMINISTRATOR,11,"64409"

ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,1,"39893"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,2,"40785"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,3,"42037"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,4,"43282"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,5,"44546"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,6,"45799"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,7,"47069"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,8,"48336"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,9,"49613"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,10,"50660"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,11,"51944"
ADIMINISTRATIVE,SENIOR_ADMINISTRATOR,12,"53265"

ADIMINISTRATIVE,ADMINISTRATOR,1,"26572"
ADIMINISTRATIVE,ADMINISTRATOR,2,"27495"
ADIMINISTRATIVE,ADMINISTRATOR,3,"28629"
ADIMINISTRATIVE,ADMINISTRATOR,4,"29397"
ADIMINISTRATIVE,ADMINISTRATOR,5,"30060"
ADIMINISTRATIVE,ADMINISTRATOR,6,"30830"
ADIMINISTRATIVE,ADMINISTRATOR,7,"31616"
ADIMINISTRATIVE,ADMINISTRATOR,8,"32491"
ADIMINISTRATIVE,ADMINISTRATOR,9,"33224"
ADIMINISTRATIVE,ADMINISTRATOR,10,"34378"
ADIMINISTRATIVE,ADMINISTRATOR,11,"35541"
ADIMINISTRATIVE,ADMINISTRATOR,12,"36715"
ADIMINISTRATIVE,ADMINISTRATOR,13,"37403"
ADIMINISTRATIVE,ADMINISTRATOR,14,"38396"
ADIMINISTRATIVE,ADMINISTRATOR,15,"39212"
ADIMINISTRATIVE,ADMINISTRATOR,16,"39926"
ADIMINISTRATIVE,ADMINISTRATOR,17,"40912"
ADIMINISTRATIVE,ADMINISTRATOR,18,"41892"

ADMINISTRATIVE,HR_MANAGER,3,"156042"



EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,1,"86389"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,2,"90698"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,3,"95005"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,4,"99296"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,5,"103583"
EDUCATION_PROCUREMENT_SERVICES,EPS_PORTFOLIO_MANAGER,6,"107874"

EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,1,"67131"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,2,"69712"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,3,"72480"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,4,"75725"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,5,"79087"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,6,"82103"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,7,"86389"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_MANAGER,8,"90698"

EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,1,"44752"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,2,"47047"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,3,"49360"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,4,"51269"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,5,"53219"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,6,"55306"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,7,"57462"
EDUCATION_PROCUREMENT_SERVICES,EPS_CATEGORY_SPECIALIST,8,"59558"


