department,position,scale_point,annual_rat(€)
SERVICE_STAFF,SEN_PORTER/ATTENDANT,13,"43069"

SERVICE_STAFF,PORTER/ATTENDANT,1,"36456"
SERVICE_STAFF,PORTER/ATTENDANT,2,"37227"
SERVICE_STAFF,PORTER/ATTENDANT,3,"39454"
SERVICE_STAFF,PORTER/ATTENDANT,4,"39644"
SERVICE_STAFF,PORTER/ATTENDANT,5,"39821"
SERVICE_STAFF,PORTER/ATTENDANT,6,"39919"
SERVICE_STAFF,PORTER/ATTENDANT,7,"40032"
SERVICE_STAFF,PORTER/ATTENDANT,8,"40032"
SERVICE_STAFF,PORTER/ATTENDANT,9,"40032"
SERVICE_STAFF,PORTER/ATTENDANT,10,"40032"
SERVICE_STAFF,PORTER/ATTENDANT,11,"40099"
SERVICE_STAFF,PORTER/ATTENDANT,12,"40214"
SERVICE_STAFF,PORTER/ATTENDANT,13,"40327"
SERVICE_STAFF,PORTER/ATTENDANT,14,"40440"
SERVICE_STAFF,PORTER/ATTENDANT,15,"40552"

SERVICE_STAFF,GROUNDS_SUPERVISOR,1,"40712"
SERVICE_STAFF,GROUNDS_SUPERVISOR,2,"40895"
SERVICE_STAFF,GROUNDS_SUPERVISOR,3,"41086"
SERVICE_STAFF,GROUNDS_SUPERVISOR,4,"41188"
SERVICE_STAFF,GROUNDS_SUPERVISOR,5,"41295"
SERVICE_STAFF,GROUNDS_SUPERVISOR,6,"41402"
SERVICE_STAFF,GROUNDS_SUPERVISOR,7,"41498"
SERVICE_STAFF,GROUNDS_SUPERVISOR,8,"41609"
SERVICE_STAFF,GROUNDS_SUPERVISOR,9,"€41720"
SERVICE_STAFF,GROUNDS_SUPERVISOR,10,"41828"
SERVICE_STAFF,GROUNDS_SUPERVISOR,11,"41944"
SERVICE_STAFF,GROUNDS_SUPERVISOR,12,"42060"
SERVICE_STAFF,GROUNDS_SUPERVISOR,13,"42165"

SERVICE_STAFF,GROUNDSWORKPERSON,1,"35063"
SERVICE_STAFF,GROUNDSWORKPERSON,2,"35795"
SERVICE_STAFF,GROUNDSWORKPERSON,3,"38451"
SERVICE_STAFF,GROUNDSWORKPERSON,4,"38637"
SERVICE_STAFF,GROUNDSWORKPERSON,5,"38810"
SERVICE_STAFF,GROUNDSWORKPERSON,6,"38906"
SERVICE_STAFF,GROUNDSWORKPERSON,7,"39009"
SERVICE_STAFF,GROUNDSWORKPERSON,8,"39104"
SERVICE_STAFF,GROUNDSWORKPERSON,9,"39206"
SERVICE_STAFF,GROUNDSWORKPERSON,10,"39304"
SERVICE_STAFF,GROUNDSWORKPERSON,11,"39415"
SERVICE_STAFF,GROUNDSWORKPERSON,12,"39522"
SERVICE_STAFF,GROUNDSWORKPERSON,13,"39632"
SERVICE_STAFF,GROUNDSWORKPERSON,14,"39744"
SERVICE_STAFF,GROUNDSWORKPERSON,15,"39861"

SERVICE_STAFF,SENIOR_AIDE,1,"40827"
SERVICE_STAFF,SENIOR_AIDE,2,"41026"
SERVICE_STAFF,SENIOR_AIDE,3,"41209"
SERVICE_STAFF,SENIOR_AIDE,4,"41317"
SERVICE_STAFF,SENIOR_AIDE,5,"41420"
SERVICE_STAFF,SENIOR_AIDE,6,"41534"
SERVICE_STAFF,SENIOR_AIDE,7,"41635"
SERVICE_STAFF,SENIOR_AIDE,8,"41745"
SERVICE_STAFF,SENIOR_AIDE,9,"41859"
SERVICE_STAFF,SENIOR_AIDE,10,"41975"
SERVICE_STAFF,SENIOR_AIDE,11,"42089"
SERVICE_STAFF,SENIOR_AIDE,12,"42206"
SERVICE_STAFF,SENIOR_AIDE,13,"42318"

SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,1,"35829"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,2,"36585"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,3,"39300"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,4,"39493"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,5,"39671"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,6,"39864"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,7,"39874"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,8,"39979"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,9,"40085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,10,"40085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,11,"40085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,12,"40085"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,13,"40172"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,14,"40286"
SERVICE_STAFF,GROUNDSWORKPERSON_MACHINE_ATTENDANT,15,"40401"

SERVICE_STAFF,SERVICE_STAFF,1,"35974"
SERVICE_STAFF,SERVICE_STAFF,2,"36736"
SERVICE_STAFF,SERVICE_STAFF,3,"39461"
SERVICE_STAFF,SERVICE_STAFF,4,"39657"
SERVICE_STAFF,SERVICE_STAFF,5,"39836"
SERVICE_STAFF,SERVICE_STAFF,6,"39933"
SERVICE_STAFF,SERVICE_STAFF,7,"40040"
SERVICE_STAFF,SERVICE_STAFF,8,"40040"
SERVICE_STAFF,SERVICE_STAFF,9,"40040"
SERVICE_STAFF,SERVICE_STAFF,10,"40040"
SERVICE_STAFF,SERVICE_STAFF,11,"40113"
SERVICE_STAFF,SERVICE_STAFF,12,"40226"
SERVICE_STAFF,SERVICE_STAFF,13,"40336"
SERVICE_STAFF,SERVICE_STAFF,14,"40451"
SERVICE_STAFF,SERVICE_STAFF,15,"40566"

SERVICE_STAFF,SERVICE_STAFF_SHIFT,1,"37129"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,2,"37898"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,3,"40388"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,4,"40578"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,5,"40761"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,6,"40861"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,7,"40973"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,8,"41074"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,9,"41179"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,10,"41284"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,11,"41392"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,12,"41506"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,13,"41613"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,14,"41733"
SERVICE_STAFF,SERVICE_STAFF_SHIFT,15,"41846"

SERVICE_STAFF,PLANT_MAINTENANCE_AIDE,1,"40053"
SERVICE_STAFF,PLANT_MAINTENANCE_AIDE,2,"43995"

SERVICE_STAFF,GROUNDS_FOREPERSON,1,"49333"
SERVICE_STAFF,GROUNDS_FOREPERSON,2,"50369"
SERVICE_STAFF,GROUNDS_FOREPERSON,3,"51204"
SERVICE_STAFF,GROUNDS_FOREPERSON,4,"52137"
SERVICE_STAFF,GROUNDS_FOREPERSON,5,"53117"
SERVICE_STAFF,GROUNDS_FOREPERSON,6,"54078"

TEACHERS,TEACHING_FELLOW,1,"62069"
TEACHERS,TEACHING_FELLOW,2,"73092"
TEACHERS,TEACHING_FELLOW,3,"77007"
TEACHERS,TEACHING_FELLOW,4,"79703"
TEACHERS,TEACHING_FELLOW,5,"83634"
TEACHERS,TEACHING_FELLOW,6,"87605"
TEACHERS,TEACHING_FELLOW,7,"91562"
TEACHERS,TEACHING_FELLOW,8,"95514"
TEACHERS,TEACHING_FELLOW,9,"99471"

TEACHERS,UNIVERSITY_TEACHER,1,"46955"
TEACHERS,UNIVERSITY_TEACHER,2,"49543"
TEACHERS,UNIVERSITY_TEACHER,3,"51676"
TEACHERS,UNIVERSITY_TEACHER,4,"53644"
TEACHERS,UNIVERSITY_TEACHER,5,"55689"
TEACHERS,UNIVERSITY_TEACHER,6,"57323"
TEACHERS,UNIVERSITY_TEACHER,7,"58990"
TEACHERS,UNIVERSITY_TEACHER,8,"60654"
TEACHERS,UNIVERSITY_TEACHER,9,"62314"
TEACHERS,UNIVERSITY_TEACHER,10,"63965"

TEACHERS,ASSOCIATE_TEACHER,1,"37008"
TEACHERS,ASSOCIATE_TEACHER,2,"39126"
TEACHERS,ASSOCIATE_TEACHER,3,"40060"
TEACHERS,ASSOCIATE_TEACHER,4,"41945"
TEACHERS,ASSOCIATE_TEACHER,5,"43130"
TEACHERS,ASSOCIATE_TEACHER,6,"44464"
TEACHERS,ASSOCIATE_TEACHER,7,"45716"
TEACHERS,ASSOCIATE_TEACHER,8,"46978"
TEACHERS,ASSOCIATE_TEACHER,9,"47948"
TEACHERS,ASSOCIATE_TEACHER,10,"50419"

CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,1,"62038"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,2,"63360"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,3,"64724"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,4,"66076"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,5,"67430"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,6,"68853"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,7,"70352"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,8,"71848"
CLINICAL,HERAPIES_REGIONAL_SUPERVISORS_REGIONAL_PLACEMENT_FACILITATOR,9,"73048"

CLINICAL,CLINICAL_TUTOR,1,"66452"
CLINICAL,CLINICAL_TUTOR,2,"69009"
CLINICAL,CLINICAL_TUTOR,3,"71509"
CLINICAL,CLINICAL_TUTOR,4,"73344"
CLINICAL,CLINICAL_TUTOR,5,"75794"
CLINICAL,CLINICAL_TUTOR,6,"78252"

CLINICAL,CLINICAL_FELLOW,1,"74499"
CLINICAL,CLINICAL_FELLOW,2,"76258"
CLINICAL,CLINICAL_FELLOW,3,"78804"
CLINICAL,CLINICAL_FELLOW,4,"81095"
CLINICAL,CLINICAL_FELLOW,5,"84824"
CLINICAL,CLINICAL_FELLOW,6,"88562"
CLINICAL,CLINICAL_FELLOW,7,"92294"


ULAC,Assistant_Senior_Instructor,1,"31099"

ULAC,Lead_Instructor,1,"29370"

ULAC,Multi_Activity_Instructor_(Grade_1),1,"25334"
ULAC,Multi_Activity_Instructor_(Grade_1),2,"27639"

ULAC,Multi_Activity_Instructor_(Grade_2),1,"25910"

ULAC,Assistant_Instructor,1,"23363"
ULAC,Assistant_Instructor,2,"25576"

ULAC,CO-OP_STUDENTS,1,"25306"
ULAC,CO-OP_STUDENTS,2,"25350"
